fb_a	fb_b	symbol_a	symbol_b	interaction
FBgn0086904	FBgn0250837	Nacalpha	dUTPase	physical
FBgn0003676	FBgn0010516	CCT1	wal	physical
FBgn0000116	FBgn0035817	Argk1	CG7409	physical
FBgn0001114	FBgn0037770	Glt	Art4	physical
FBgn0036300	FBgn0053303	Pmm2	CG33303	physical
FBgn0026737	FBgn0042125	CG6171	CG18787	physical
FBgn0003141	FBgn0031799	pr	Pez	physical
FBgn0024238	FBgn0034277	Fim	OstDelta	physical
FBgn0022023	FBgn0036258	eIF3h	eIF3l	physical
FBgn0000579	FBgn0037607	Eno	CG8036	physical
FBgn0033185	FBgn0035879	cliff	GAPcenA	physical
FBgn0033518	FBgn0037913	Prx6c	fabp	physical
FBgn0004654	FBgn0030529	Pgd	Clic	physical
FBgn0016685	FBgn0032198	Nlp	eEF1delta	physical
FBgn0015221	FBgn0020908	Fer2LCH	Scp1	physical
FBgn0000499	FBgn0038760	dsh	MED25	physical
FBgn0028684	FBgn0261243	Rpt5	Psa	physical
FBgn0010288	FBgn0040064	Uch	Acaa	physical
FBgn0010611	FBgn0039296	Hmgs	Sil1	physical
FBgn0030720	FBgn0034243	CG8939	Ns2	physical
FBgn0014454	FBgn0034470	Acp1	Obp56d	physical
FBgn0001218	FBgn0029701	Hsc70-3	CG12691	physical
FBgn0026409	FBgn0250814	Mpcp2	UQCR-C2	physical
FBgn0035772	FBgn0250837	Sh3beta	dUTPase	physical
FBgn0000063	FBgn0035640	Mps1	mad2	physical
FBgn0035102	FBgn0040070	CG7049	Trx2	physical
FBgn0034646	FBgn0035499	Rae1	Chd64	physical
FBgn0005585	FBgn0025678	Calr	CaBP1	physical
FBgn0029118	FBgn0250814	ScsbetaG	UQCR-C2	physical
FBgn0035444	FBgn0052177	CG12012	Ndfip	physical
FBgn0003346	FBgn0014006	RanGAP	Ask1	physical
FBgn0030504	FBgn0030720	CG2691	CG8939	physical
FBgn0015011	FBgn0035371	AhcyL2	AhcyL1	physical
FBgn0013531	FBgn0038578	MED20	MED17	physical
FBgn0010217	FBgn0035499	ATPsynbeta	Chd64	physical
FBgn0032876	FBgn0033998	Cen	row	physical
FBgn0027583	FBgn0030992	CG7601	CG33253	physical
FBgn0037632	FBgn0050489	CCT7	Cyp12d1-p	physical
FBgn0000064	FBgn0022160	Ald1	Gpo1	physical
FBgn0014009	FBgn0035471	Rab2	Sc2	physical
FBgn0010288	FBgn0032453	Uch	CG6180	physical
FBgn0029176	FBgn0032198	eEF1gamma	eEF1delta	physical
FBgn0036740	FBgn0086656	Vps60	shrb	physical
FBgn0034091	FBgn0263106	mrj	DnaJ-1	physical
FBgn0026380	FBgn0033781	Prosbeta3	CG13319	physical
FBgn0001276	FBgn0015618	ix	Cdk8	physical
FBgn0027329	FBgn0027338	CCT6	Kap-alpha3	physical
FBgn0011481	FBgn0035754	Ssdp	MED4	physical
FBgn0014868	FBgn0028342	Ost48	ATPsyndelta	physical
FBgn0021995	FBgn0030720	Rs1	CG8939	physical
FBgn0036365	FBgn0264078	cmb	Flo2	physical
FBgn0010808	FBgn0019960	Chchd3	Mitofilin	physical
FBgn0001258	FBgn0014189	Ldh	Hel25E	physical
FBgn0000150	FBgn0004654	awd	Pgd	physical
FBgn0026418	FBgn0036290	Hsp110	CG10638	physical
FBgn0014163	FBgn0015622	fax	Cnx99A	physical
FBgn0029975	FBgn0260439	spidey	Pp2A-29B	physical
FBgn0015019	FBgn0032961	CCT3	CG1416	physical
FBgn0003257	FBgn0023522	r-l	CG11596	physical
FBgn0029118	FBgn0032643	ScsbetaG	GCS2beta	physical
FBgn0000308	FBgn0086904	chic	Nacalpha	physical
FBgn0026873	FBgn0263933	MED18	ebi	physical
FBgn0015299	FBgn0051712	Ssb-c31a	Arglu1	physical
FBgn0037728	FBgn0086904	cPges	Nacalpha	physical
FBgn0036623	FBgn0250814	Agpat3	UQCR-C2	physical
FBgn0000150	FBgn0035334	awd	CG8993	physical
FBgn0010470	FBgn0261458	Fkbp14	capt	physical
FBgn0032456	FBgn0039303	MRP	Rer1	physical
FBgn0014029	FBgn0026361	Septin2	Septin5	physical
FBgn0032006	FBgn0040777	Pvr	CG14767	physical
FBgn0001092	FBgn0005391	Gapdh2	Yp2	physical
FBgn0014009	FBgn0053303	Rab2	CG33303	physical
FBgn0034913	FBgn0038530	Snap29	AttD	physical
FBgn0010516	FBgn0011211	wal	blw	physical
FBgn0024352	FBgn0035904	Stip1	GstO3	physical
FBgn0031876	FBgn0032691	Atac1	Atac2	physical
FBgn0031876	FBgn0032691	Atac1	Atac2	physical
FBgn0031876	FBgn0032691	Atac1	Atac2	physical
FBgn0031876	FBgn0032691	Atac1	Atac2	physical
FBgn0010470	FBgn0035904	Fkbp14	GstO3	physical
FBgn0002921	FBgn0086357	Atpalpha	Sec61alpha	physical
FBgn0032731	FBgn0262716	Swip-1	Arp3	physical
FBgn0024238	FBgn0025885	Fim	Inos	physical
FBgn0031497	FBgn0037728	SerRS	cPges	physical
FBgn0015372	FBgn0029676	RabX1	HIP-R	physical
FBgn0000579	FBgn0011661	Eno	Moe	physical
FBgn0027338	FBgn0037632	Kap-alpha3	CCT7	physical
FBgn0022349	FBgn0038326	CG1910	Hibch	physical
FBgn0037999	FBgn0038742	CG4860	Arc42	physical
FBgn0016685	FBgn0024352	Nlp	Stip1	physical
FBgn0000055	FBgn0034470	Adh	Obp56d	physical
FBgn0015282	FBgn0029134	Rpt2	Prosbeta5	physical
FBgn0030501	FBgn0039186	BthD	CG5746	physical
FBgn0000667	FBgn0027291	Actn	Idh3a	physical
FBgn0015278	FBgn0032393	Pi3K68D	Nfs1	physical
FBgn0001098	FBgn0016120	Gdh	ATPsynD	physical
FBgn0037913	FBgn0037930	fabp	CG14715	physical
FBgn0004132	FBgn0010412	boca	RpS19a	physical
FBgn0011227	FBgn0032643	ox	GCS2beta	physical
FBgn0015282	FBgn0250843	Rpt2	Prosalpha6	physical
FBgn0011774	FBgn0041627	Irbp	Ku80	physical
FBgn0000055	FBgn0014869	Adh	Pglym78	physical
FBgn0014391	FBgn0020235	sun	ATPsyngamma	physical
FBgn0031227	FBgn0037134	Pus10	CG7407	physical
FBgn0032731	FBgn0038369	Swip-1	Arpc3A	physical
FBgn0002772	FBgn0035600	Mlc1	Cyt-c1	physical
FBgn0034646	FBgn0039404	Rae1	CG14543	physical
FBgn0028687	FBgn0028692	Rpt1	Rpn2	physical
FBgn0028552	FBgn0036341	gammaSnap1	Syx13	physical
FBgn0036921	FBgn0037537	RhoGDI	CG2767	physical
FBgn0033584	FBgn0034688	CG7737	CG11474	physical
FBgn0020306	FBgn0034282	dom	Mapmodulin	physical
FBgn0010516	FBgn0011227	wal	ox	physical
FBgn0011227	FBgn0020235	ox	ATPsyngamma	physical
FBgn0037728	FBgn0086254	cPges	Akr1B	physical
FBgn0013770	FBgn0021795	CtsL1	Tapdelta	physical
FBgn0004132	FBgn0035424	boca	Larp4B	physical
FBgn0010590	FBgn0037378	Prosbeta1	PSMG1	physical
FBgn0024352	FBgn0035772	Stip1	Sh3beta	physical
FBgn0030993	FBgn0039562	Mec2	Gp93	physical
FBgn0015790	FBgn0033518	Rab11	Prx6c	physical
FBgn0028691	FBgn0261394	Rpn9	Prosalpha3	physical
FBgn0014189	FBgn0029093	Hel25E	cathD	physical
FBgn0036929	FBgn0037583	CG7668	Veneno	physical
FBgn0051729	FBgn0086357	CG31729	Sec61alpha	physical
FBgn0022893	FBgn0024238	Df31	Fim	physical
FBgn0000100	FBgn0015278	RpLP0	Pi3K68D	physical
FBgn0033879	FBgn0037206	Echs1	CG12768	physical
FBgn0027330	FBgn0032138	l(1)G0020	CG4364	physical
FBgn0037383	FBgn0044871	Sec20	Gos28	physical
FBgn0010470	FBgn0021765	Fkbp14	scu	physical
FBgn0019925	FBgn0034398	Surf4	CG15098	physical
FBgn0014870	FBgn0037359	Psi	MED27	physical
FBgn0031037	FBgn0261955	CG14207	Cs1	physical
FBgn0033879	FBgn0261458	Echs1	capt	physical
FBgn0029113	FBgn0035853	Uba2	UbcE2M	physical
FBgn0013531	FBgn0033122	MED20	CG17002	physical
FBgn0032198	FBgn0063494	eEF1delta	GstE6	physical
FBgn0014417	FBgn0037228	Naglu	CG1092	physical
FBgn0000579	FBgn0005585	Eno	Calr	physical
FBgn0016691	FBgn0032833	ATPsynO	COX4	physical
FBgn0033356	FBgn0034853	CG8229	Ice1	physical
FBgn0024556	FBgn0032393	mEFTu1	Nfs1	physical
FBgn0033555	FBgn0052219	RpS15Ab	CG32219	physical
FBgn0029133	FBgn0032884	REG	Pomp	physical
FBgn0003748	FBgn0042125	Treh	CG18787	physical
FBgn0033205	FBgn0062442	Rdh1	Cisd	physical
FBgn0036290	FBgn0250843	CG10638	Prosalpha6	physical
FBgn0015282	FBgn0250814	Rpt2	UQCR-C2	physical
FBgn0034753	FBgn0037913	CG2852	fabp	physical
FBgn0000083	FBgn0086254	AnxB9	Akr1B	physical
FBgn0001258	FBgn0011211	Ldh	blw	physical
FBgn0010100	FBgn0035600	mAcon1	Cyt-c1	physical
FBgn0001215	FBgn0259139	Hrb98DE	glo	physical
FBgn0010226	FBgn0261955	GstS1	Cs1	physical
FBgn0035603	FBgn0264694	Pfdn4	mgr	physical
FBgn0043002	FBgn0050390	Chrac-14	Sgf29	physical
FBgn0045866	FBgn0053105	bai	p24-2	physical
FBgn0014868	FBgn0031529	Ost48	CG9662	physical
FBgn0013531	FBgn0037359	MED20	MED27	physical
FBgn0015278	FBgn0036824	Pi3K68D	CG3902	physical
FBgn0034245	FBgn0034277	UQCR-6.4	OstDelta	physical
FBgn0004132	FBgn0035145	boca	MED14	physical
FBgn0010288	FBgn0027552	Uch	Akr2E3	physical
FBgn0034245	FBgn0035600	UQCR-6.4	Cyt-c1	physical
FBgn0041627	FBgn0260985	Ku80	RfC4	physical
FBgn0033260	FBgn0051855	Cul4	CG31855	physical
FBgn0034646	FBgn0037279	Rae1	Gmppb	physical
FBgn0023174	FBgn0030451	Prosbeta2	CG15717	physical
FBgn0036766	FBgn0052473	CG5506	CG32473	physical
FBgn0004638	FBgn0036448	drk	mop	physical
FBgn0035471	FBgn0086357	Sc2	Sec61alpha	physical
FBgn0010235	FBgn0010590	Klc	Prosbeta1	physical
FBgn0024238	FBgn0033518	Fim	Prx6c	physical
FBgn0027794	FBgn0045862	Lrpprc2	btz	physical
FBgn0000064	FBgn0004169	Ald1	up	physical
FBgn0010470	FBgn0022893	Fkbp14	Df31	physical
FBgn0010470	FBgn0034345	Fkbp14	CG5174	physical
FBgn0020235	FBgn0250814	ATPsyngamma	UQCR-C2	physical
FBgn0031436	FBgn0039669	ND-B17.2	ND-20L	physical
FBgn0000084	FBgn0004363	AnxB10	porin	physical
FBgn0003660	FBgn0016701	Syb	Rab4	physical
FBgn0028686	FBgn0028687	Rpt3	Rpt1	physical
FBgn0004047	FBgn0085234	Yp3	CG34205	physical
FBgn0020369	FBgn0033205	Rpt6	Rdh1	physical
FBgn0034282	FBgn0040078	Mapmodulin	pont	physical
FBgn0000499	FBgn0052479	dsh	Usp10	physical
FBgn0017566	FBgn0039909	ND-75	ND-49	physical
FBgn0015379	FBgn0035904	dod	GstO3	physical
FBgn0033998	FBgn0040011	row	Slmap	physical
FBgn0033844	FBgn0035471	bbc	Sc2	physical
FBgn0034753	FBgn0035904	CG2852	GstO3	physical
FBgn0036341	FBgn0260856	Syx13	Membrin	physical
FBgn0002284	FBgn0033781	Prosbeta6	CG13319	physical
FBgn0027592	FBgn0033122	MED15	CG17002	physical
FBgn0027592	FBgn0033122	MED15	CG17002	physical
FBgn0035334	FBgn0040070	CG8993	Trx2	physical
FBgn0022349	FBgn0030529	CG1910	Clic	physical
FBgn0001128	FBgn0051343	Gpdh1	CG31343	physical
FBgn0015795	FBgn0031529	Rab7	CG9662	physical
FBgn0025185	FBgn0039302	az2	Nup358	physical
FBgn0026380	FBgn0028692	Prosbeta3	Rpn2	physical
FBgn0029975	FBgn0263006	spidey	SERCA	physical
FBgn0029093	FBgn0039580	cathD	Gfat2	physical
FBgn0002921	FBgn0027338	Atpalpha	Kap-alpha3	physical
FBgn0000579	FBgn0035772	Eno	Sh3beta	physical
FBgn0010611	FBgn0015245	Hmgs	Hsp60A	physical
FBgn0011742	FBgn0032731	Arp2	Swip-1	physical
FBgn0034237	FBgn0036258	eIF3b	eIF3l	physical
FBgn0004856	FBgn0038927	Bx42	CG6015	physical
FBgn0032456	FBgn0039304	MRP	Kdsr	physical
FBgn0004169	FBgn0031908	up	CG5177	physical
FBgn0004875	FBgn0033122	enc	CG17002	physical
FBgn0026084	FBgn0262559	cib	Mdh2	physical
FBgn0000055	FBgn0010352	Adh	Ogdh	physical
FBgn0016697	FBgn0028689	Prosalpha5	Rpn6	physical
FBgn0002773	FBgn0261955	Mlc2	Cs1	physical
FBgn0013987	FBgn0015765	MAPk-Ak2	p38a	physical
FBgn0026084	FBgn0086904	cib	Nacalpha	physical
FBgn0015622	FBgn0261800	Cnx99A	LanB1	physical
FBgn0014868	FBgn0030993	Ost48	Mec2	physical
FBgn0029687	FBgn0036623	Vap33	Agpat3	physical
FBgn0000084	FBgn0004654	AnxB10	Pgd	physical
FBgn0037383	FBgn0260855	Sec20	Sec22	physical
FBgn0031305	FBgn0031995	Iris	CG8475	physical
FBgn0025463	FBgn0038196	Bap60	CG9922	physical
FBgn0026873	FBgn0034503	MED18	MED8	physical
FBgn0002069	FBgn0031497	AspRS	SerRS	physical
FBgn0027338	FBgn0032393	Kap-alpha3	Nfs1	physical
FBgn0030891	FBgn0038016	Ada3	MBD-R2	physical
FBgn0008635	FBgn0053303	betaCOP	CG33303	physical
FBgn0004903	FBgn0029979	Rb97D	mahe	physical
FBgn0004362	FBgn0016685	HmgD	Nlp	physical
FBgn0023097	FBgn0261954	bon	east	physical
FBgn0010100	FBgn0038294	mAcon1	Mf	physical
FBgn0027932	FBgn0037728	Akap200	cPges	physical
FBgn0000084	FBgn0033518	AnxB10	Prx6c	physical
FBgn0016685	FBgn0025682	Nlp	scf	physical
FBgn0086134	FBgn0263121	Prosalpha2	Prosalpha1	physical
FBgn0016701	FBgn0032456	Rab4	MRP	physical
FBgn0004066	FBgn0086254	Prosalpha4	Akr1B	physical
FBgn0001226	FBgn0036000	Hsp27	CG3434	physical
FBgn0086357	FBgn0263006	Sec61alpha	SERCA	physical
FBgn0000319	FBgn0029975	Chc	spidey	physical
FBgn0010173	FBgn0263102	RPA1	psq	physical
FBgn0014869	FBgn0036921	Pglym78	RhoGDI	physical
FBgn0032731	FBgn0034646	Swip-1	Rae1	physical
FBgn0003149	FBgn0004169	Prm	up	physical
FBgn0000579	FBgn0036334	Eno	CG11267	physical
FBgn0020497	FBgn0032456	emb	MRP	physical
FBgn0000116	FBgn0004117	Argk1	Tm2	physical
FBgn0002783	FBgn0035149	mor	MED30	physical
FBgn0032746	FBgn0034245	CG10470	UQCR-6.4	physical
FBgn0004647	FBgn0034312	N	CG10916	physical
FBgn0028684	FBgn0028690	Rpt5	Rpn5	physical
FBgn0034795	FBgn0037391	MED23	Gtpbp2	physical
FBgn0028689	FBgn0028691	Rpn6	Rpn9	physical
FBgn0026250	FBgn0027932	eIF1A	Akap200	physical
FBgn0035811	FBgn0037894	Mcad	Ipo9	physical
FBgn0004107	FBgn0037613	Cdk2	Cks85A	physical
FBgn0004107	FBgn0037613	Cdk2	Cks85A	physical
FBgn0000084	FBgn0021765	AnxB10	scu	physical
FBgn0041164	FBgn0263143	armi	vret	physical
FBgn0041164	FBgn0263143	armi	vret	physical
FBgn0041164	FBgn0263143	armi	vret	physical
FBgn0041164	FBgn0263143	armi	vret	physical
FBgn0041164	FBgn0263143	armi	vret	physical
FBgn0015379	FBgn0016685	dod	Nlp	physical
FBgn0004856	FBgn0037466	Bx42	CG1965	physical
FBgn0029134	FBgn0263121	Prosbeta5	Prosalpha1	physical
FBgn0029134	FBgn0263121	Prosbeta5	Prosalpha1	physical
FBgn0029134	FBgn0263121	Prosbeta5	Prosalpha1	physical
FBgn0029134	FBgn0263121	Prosbeta5	Prosalpha1	physical
FBgn0029134	FBgn0263121	Prosbeta5	Prosalpha1	physical
FBgn0001276	FBgn0002783	ix	mor	physical
FBgn0000579	FBgn0032160	Eno	CG4598	physical
FBgn0000308	FBgn0035499	chic	Chd64	physical
FBgn0031677	FBgn0261439	CG14036	SdhA	physical
FBgn0014010	FBgn0036623	Rab5	Agpat3	physical
FBgn0028687	FBgn0035471	Rpt1	Sc2	physical
FBgn0027330	FBgn0027602	l(1)G0020	CG8611	physical
FBgn0026409	FBgn0035811	Mpcp2	Mcad	physical
FBgn0001225	FBgn0039102	Hsp26	SPE	physical
FBgn0016978	FBgn0051712	snRNP-U1-70K	Arglu1	physical
FBgn0016978	FBgn0051712	snRNP-U1-70K	Arglu1	physical
FBgn0013531	FBgn0035149	MED20	MED30	physical
FBgn0086357	FBgn0250814	Sec61alpha	UQCR-C2	physical
FBgn0033608	FBgn0035471	CG13220	Sc2	physical
FBgn0010660	FBgn0034118	Nup214	Nup62	physical
FBgn0032961	FBgn0035471	CG1416	Sc2	physical
FBgn0008635	FBgn0029118	betaCOP	ScsbetaG	physical
FBgn0001128	FBgn0035600	Gpdh1	Cyt-c1	physical
FBgn0019644	FBgn0038294	ATPsynB	Mf	physical
FBgn0002787	FBgn0028684	Rpn8	Rpt5	physical
FBgn0025185	FBgn0033463	az2	CG1513	physical
FBgn0013749	FBgn0035473	Arf4	mge	physical
FBgn0032404	FBgn0037899	RpL7-like	RpL24-like	physical
FBgn0001258	FBgn0034398	Ldh	CG15098	physical
FBgn0035772	FBgn0036921	Sh3beta	RhoGDI	physical
FBgn0025807	FBgn0026417	Rad9	Hus1-like	physical
FBgn0025807	FBgn0026417	Rad9	Hus1-like	physical
FBgn0030891	FBgn0039904	Ada3	Hcf	physical
FBgn0030891	FBgn0039904	Ada3	Hcf	physical
FBgn0028700	FBgn0041627	RfC38	Ku80	physical
FBgn0000308	FBgn0031453	chic	Bacc	physical
FBgn0028473	FBgn0032138	Non1	CG4364	physical
FBgn0032393	FBgn0039580	Nfs1	Gfat2	physical
FBgn0014417	FBgn0037718	Naglu	P58IPK	physical
FBgn0000055	FBgn0261955	Adh	Cs1	physical
FBgn0030451	FBgn0035853	CG15717	UbcE2M	physical
FBgn0014391	FBgn0016120	sun	ATPsynD	physical
FBgn0014391	FBgn0016120	sun	ATPsynD	physical
FBgn0027066	FBgn0032198	Eb1	eEF1delta	physical
FBgn0033608	FBgn0260439	CG13220	Pp2A-29B	physical
FBgn0034537	FBgn0036381	DMAP1	CG8745	physical
FBgn0033205	FBgn0051729	Rdh1	CG31729	physical
FBgn0001258	FBgn0039304	Ldh	Kdsr	physical
FBgn0004363	FBgn0053303	porin	CG33303	physical
FBgn0000064	FBgn0085201	Ald1	COX7AL2	physical
FBgn0028695	FBgn0032884	Rpn1	Pomp	physical
FBgn0004045	FBgn0005391	Yp1	Yp2	physical
FBgn0008635	FBgn0015019	betaCOP	CCT3	physical
FBgn0031977	FBgn0039115	baf	CG10214	physical
FBgn0002773	FBgn0003149	Mlc2	Prm	physical
FBgn0030938	FBgn0260985	CG15047	RfC4	physical
FBgn0038473	FBgn0051694	Ns1	Ifrd1	physical
FBgn0001258	FBgn0263006	Ldh	SERCA	physical
FBgn0031643	FBgn0037758	CG3008	CG9467	physical
FBgn0032198	FBgn0037728	eEF1delta	cPges	physical
FBgn0035424	FBgn0036450	Larp4B	Tdrd3	physical
FBgn0028577	FBgn0035253	hfp	Srrm234	physical
FBgn0010226	FBgn0262559	GstS1	Mdh2	physical
FBgn0085201	FBgn0262559	COX7AL2	Mdh2	physical
FBgn0000055	FBgn0002565	Adh	Lsp2	physical
FBgn0026409	FBgn0027291	Mpcp2	Idh3a	physical
FBgn0000055	FBgn0264695	Adh	Mhc	physical
FBgn0004875	FBgn0015618	enc	Cdk8	physical
FBgn0002783	FBgn0024330	mor	MED6	physical
FBgn0011661	FBgn0086254	Moe	Akr1B	physical
FBgn0000150	FBgn0026418	awd	Hsp110	physical
FBgn0027513	FBgn0031871	ana2	Fgop2	physical
FBgn0026418	FBgn0260049	Hsp110	flr	physical
FBgn0011695	FBgn0039682	EbpIII	Obp99c	physical
FBgn0019925	FBgn0035471	Surf4	Sc2	physical
FBgn0010611	FBgn0035154	Hmgs	hiro	physical
FBgn0026409	FBgn0027338	Mpcp2	Kap-alpha3	physical
FBgn0015245	FBgn0022349	Hsp60A	CG1910	physical
FBgn0001215	FBgn0004237	Hrb98DE	Hrb87F	physical
FBgn0002719	FBgn0011661	Men	Moe	physical
FBgn0033351	FBgn0034401	AIMP1	MetRS	physical
FBgn0013954	FBgn0262559	Fkbp12	Mdh2	physical
FBgn0014417	FBgn0025615	Naglu	Torsin	physical
FBgn0031876	FBgn0039280	Atac1	Mocs2B	physical
FBgn0031876	FBgn0039280	Atac1	Mocs2B	physical
FBgn0031876	FBgn0039280	Atac1	Mocs2B	physical
FBgn0031876	FBgn0039280	Atac1	Mocs2B	physical
FBgn0031876	FBgn0039280	Atac1	Mocs2B	physical
FBgn0011211	FBgn0250814	blw	UQCR-C2	physical
FBgn0026402	FBgn0028992	NiPp1	sds22	physical
FBgn0011288	FBgn0260857	Snap25	Bet1	physical
FBgn0034753	FBgn0250843	CG2852	Prosalpha6	physical
FBgn0021795	FBgn0037894	Tapdelta	Ipo9	physical
FBgn0027569	FBgn0031392	cert	AIF	physical
FBgn0000667	FBgn0013348	Actn	TpnC41C	physical
FBgn0020633	FBgn0053303	Mcm7	CG33303	physical
FBgn0004167	FBgn0015278	kst	Pi3K68D	physical
FBgn0004167	FBgn0015278	kst	Pi3K68D	physical
FBgn0011774	FBgn0038805	Irbp	TFAM	physical
FBgn0016685	FBgn0026084	Nlp	cib	physical
FBgn0031888	FBgn0037718	Pvf2	P58IPK	physical
FBgn0030431	FBgn0264691	Flad1	Lst8	physical
FBgn0031459	FBgn0034753	HINT1	CG2852	physical
FBgn0031143	FBgn0032329	CG1532	Art8	physical
FBgn0011481	FBgn0035149	Ssdp	MED30	physical
FBgn0004924	FBgn0010770	Top1	ppan	physical
FBgn0028685	FBgn0038577	Rpt4	CG12321	physical
FBgn0011661	FBgn0035121	Moe	Tudor-SN	physical
FBgn0000150	FBgn0022893	awd	Df31	physical
FBgn0028515	FBgn0033518	EndoGI	Prx6c	physical
FBgn0028429	FBgn0031772	I-2	CG13994	physical
FBgn0020388	FBgn0031876	Gcn5	Atac1	physical
FBgn0020388	FBgn0031876	Gcn5	Atac1	physical
FBgn0020388	FBgn0031876	Gcn5	Atac1	physical
FBgn0020388	FBgn0031876	Gcn5	Atac1	physical
FBgn0020388	FBgn0031876	Gcn5	Atac1	physical
FBgn0000150	FBgn0015379	awd	dod	physical
FBgn0033518	FBgn0050000	Prx6c	GstT1	physical
FBgn0017566	FBgn0030292	ND-75	NdufV3	physical
FBgn0024285	FBgn0033160	Srp54	Dhx15	physical
FBgn0003218	FBgn0033463	rdgB	CG1513	physical
FBgn0037215	FBgn0037718	beta-Man	P58IPK	physical
FBgn0030362	FBgn0030529	regucalcin	Clic	physical
FBgn0001961	FBgn0011742	Arpc1	Arp2	physical
FBgn0024238	FBgn0036290	Fim	CG10638	physical
FBgn0015282	FBgn0028684	Rpt2	Rpt5	physical
FBgn0031253	FBgn0033886	CG11885	Rpn13	physical
FBgn0033185	FBgn0035181	cliff	CG9205	physical
FBgn0024556	FBgn0050489	mEFTu1	Cyp12d1-p	physical
FBgn0001276	FBgn0052133	ix	Ptip	physical
FBgn0014868	FBgn0033203	Ost48	CG2070	physical
FBgn0015521	FBgn0030362	RpS21	regucalcin	physical
FBgn0015795	FBgn0028695	Rab7	Rpn1	physical
FBgn0002069	FBgn0027086	AspRS	IleRS	physical
FBgn0002069	FBgn0027086	AspRS	IleRS	physical
FBgn0000055	FBgn0031908	Adh	CG5177	physical
FBgn0022893	FBgn0042125	Df31	CG18787	physical
FBgn0027291	FBgn0032393	Idh3a	Nfs1	physical
FBgn0016794	FBgn0024248	dos	chico	physical
FBgn0005585	FBgn0086254	Calr	Akr1B	physical
FBgn0031497	FBgn0036824	SerRS	CG3902	physical
FBgn0000055	FBgn0004117	Adh	Tm2	physical
FBgn0020369	FBgn0027329	Rpt6	CCT6	physical
FBgn0023522	FBgn0033247	CG11596	Nup44A	physical
FBgn0014870	FBgn0262739	Psi	AGO1	physical
FBgn0014870	FBgn0262739	Psi	AGO1	physical
FBgn0014870	FBgn0262739	Psi	AGO1	physical
FBgn0027568	FBgn0036623	Cand1	Agpat3	physical
FBgn0003206	FBgn0250814	Ras64B	UQCR-C2	physical
FBgn0000139	FBgn0039904	ash2	Hcf	physical
FBgn0000139	FBgn0039904	ash2	Hcf	physical
FBgn0000139	FBgn0039904	ash2	Hcf	physical
FBgn0000064	FBgn0261955	Ald1	Cs1	physical
FBgn0011661	FBgn0020653	Moe	Trxr1	physical
FBgn0002565	FBgn0036766	Lsp2	CG5506	physical
FBgn0000064	FBgn0036921	Ald1	RhoGDI	physical
FBgn0013531	FBgn0263933	MED20	ebi	physical
FBgn0011708	FBgn0260857	Syx5	Bet1	physical
FBgn0036771	FBgn0039566	Wdr92	CG4849	physical
FBgn0027291	FBgn0037758	Idh3a	CG9467	physical
FBgn0003218	FBgn0027569	rdgB	cert	physical
FBgn0001226	FBgn0028687	Hsp27	Rpt1	physical
FBgn0004638	FBgn0041630	drk	Hexo1	physical
FBgn0031459	FBgn0032160	HINT1	CG4598	physical
FBgn0032198	FBgn0262559	eEF1delta	Mdh2	physical
FBgn0015222	FBgn0039776	Fer1HCH	PH4alphaEFB	physical
FBgn0000042	FBgn0036289	Act5C	CG10657	physical
FBgn0020369	FBgn0250843	Rpt6	Prosalpha6	physical
FBgn0020369	FBgn0032961	Rpt6	CG1416	physical
FBgn0010100	FBgn0022160	mAcon1	Gpo1	physical
FBgn0014163	FBgn0035499	fax	Chd64	physical
FBgn0010348	FBgn0027329	Arf1	CCT6	physical
FBgn0014868	FBgn0026409	Ost48	Mpcp2	physical
FBgn0001258	FBgn0014009	Ldh	Rab2	physical
FBgn0039304	FBgn0263006	Kdsr	SERCA	physical
FBgn0026761	FBgn0037712	Trap1	CG16789	physical
FBgn0000084	FBgn0040064	AnxB10	Acaa	physical
FBgn0036891	FBgn0037228	CG9372	CG1092	physical
FBgn0011661	FBgn0036334	Moe	CG11267	physical
FBgn0033351	FBgn0036515	AIMP1	AIMP2	physical
FBgn0032444	FBgn0037632	CCT4	CCT7	physical
FBgn0011227	FBgn0032961	ox	CG1416	physical
FBgn0262559	FBgn0264695	Mdh2	Mhc	physical
FBgn0027330	FBgn0038989	l(1)G0020	CG6937	physical
FBgn0028671	FBgn0260467	Vha100-1	CG7071	physical
FBgn0015299	FBgn0028474	Ssb-c31a	CG4119	physical
FBgn0000116	FBgn0000579	Argk1	Eno	physical
FBgn0029885	FBgn0032240	CG3224	CG17768	physical
FBgn0015379	FBgn0025885	dod	Inos	physical
FBgn0032329	FBgn0042127	Art8	CG18789	physical
FBgn0032456	FBgn0039580	MRP	Gfat2	physical
FBgn0016119	FBgn0031529	ATPsynCF6	CG9662	physical
FBgn0015278	FBgn0037728	Pi3K68D	cPges	physical
FBgn0004045	FBgn0051343	Yp1	CG31343	physical
FBgn0014163	FBgn0034345	fax	CG5174	physical
FBgn0031057	FBgn0040011	Ubqn	Slmap	physical
FBgn0001114	FBgn0024238	Glt	Fim	physical
FBgn0011481	FBgn0052133	Ssdp	Ptip	physical
FBgn0004638	FBgn0031799	drk	Pez	physical
FBgn0004638	FBgn0031799	drk	Pez	physical
FBgn0003189	FBgn0004132	r	boca	physical
FBgn0030891	FBgn0034726	Ada3	PolE4	physical
